SMILES,REWARD
N#[N+][N-]Cc1ccc(-n2nnnc2SCc2cnc3c(c2)C(=O)N(C2CCCC2)C3)cc1,8.67
CC(NC(=O)C(c1ccccc1)c1ccc(C[N-][N+]#N)cc1)c1cc(-c2nn[nH]n2)ccc1C(=O)NN,10.42
N#[N+][N-]c1ccc(-n2nnnc2C(Cl)(Cl)c2nnnn2-c2ccc(N=NNc3ccc(-c4nn[nH]n4)cc3)cc2)cc1,12.5
Clc1ccc(N=NNc2cccc(-c3nn[nH]n3)c2)cc1,8.31
CN(N=NN(C)c1ccc(S(=O)(=O)N2CCCC2c2nc3ccccc3[nH]2)cc1)c1ccc(N=Nc2ccc(N)nc2N)cc1,9.97
N#Cc1nn(-c2ccccc2N)nc1N(CCC(=O)NN)Cc1ccccc1,6.09
Cc1c(C(=O)OCC(=O)N(Cc2ccccc2)c2c(N)n(CC(C)C)c(=O)[nH]c2=O)nnn1Nc1ccccc1,6.3
N#[N+][N-]C(c1ccccc1)(c1ccccc1)c1ccc(N=Nc2ccc(N)nc2N)cc1,8.15
Nc1cc(NNC(=O)c2cccc(N=Nc3ccc(Cn4nnc(N)n4)cc3)c2)nc(N)n1,10.56
NNC(=O)c1ccccc1NN=Nc1ccc(-c2nnc(-c3ccc(Cn4nnc(N)n4)cc3)nn2)cc1,11.48
CS(=O)(=O)NC1CN(C(=O)Oc2ccc(N=NNc3ccc(Cl)cc3)cc2)CC1C1CC1,7.61
CNN=Nc1ccc(N=NNc2ccc(N=NNc3ccc(-n4cnnn4)cc3)cc2C(=O)NN)cc1,12.15
Cc1c(NC(=S)NC(=O)c2ccc3nsnc3c2)cccc1C(=O)NNc1ccccc1Cl,8.53
O=C(NN=C1CCC(Nc2ncccn2)CC1)Oc1cccc2cccnc12,8.28
COc1ccc(N=NNc2ccc(Cn3nnc(N)n3)cc2)cc1NC(=O)c1ccc(C=NN)cc1,10.6
Cc1ccccc1C(=O)NN(Cc1ccc(C=Nn2nnc3ccccc32)cc1)Cc1cccc([N-][N+]#N)c1,8.96
Nc1nc(Cl)cc(NN=C(c2ccccc2)c2ccc(-n3nnnc3N)cc2)n1,9.36
N#[N+][N-]Cc1ccc(C([N-][N+]#N)(c2ccccc2)c2ccc(C(=O)NNC(=O)N=Nc3ccccc3Cl)cc2)cc1,9.57
O=C(N=Nc1ccccc1Cl)NNC(=O)n1nnc2ccccc21,7.68
O=C(CSc1nnnn1-c1ccc(Oc2nn[nH]n2)cc1)N1c2ccccc2CCc2ccccc21,9.41
Cn1nnnc1SCC(CSc1nnc(Cc2ccc(Cn3nnc(N)n3)cc2)c(=O)n1N)C(=O)NN,8.96
NNC(=O)c1cc(N=Nc2c(N)[nH]c(NN)nc2=O)ccc1N=NNc1ccccc1,9.75
Cc1ccc(N=NNc2ccccc2)cc1,6.35
N#Cc1cc(-c2nn[nH]n2)ccc1NCc1nc(-c2ccccc2-c2nn[nH]n2)no1,10.18
O=C(CSc1nnc2c3cc(-c4ccc(-c5nn[nH]n5)cc4)nn3ccn12)NC1CCCCCCC1,9.54
O=C(NNC(=O)n1nnc2ccccc21)NC1CCN(N=Nc2cccc(N=NNc3ccccc3)c2)CC1,10.84
N#[N+][N-]c1cccc(NN=Nc2cccc(NC(=O)CCn3nnc4ccccc43)c2)c1,9.65
O=C1NCCc2ccc(N=NNc3ccc(-c4nn[nH]n4)cc3)cc21,9.57
CN(N=Nc1ccccc1C#N)c1ccc(N=Nc2cccc(-c3nn[nH]n3)c2)cc1,8.81
NNC(=O)c1ccc(NC(=O)NNC(=O)c2csnn2)cc1NN=Nc1cccc(Cl)c1,9.56
N#[N+][N-]CSc1nc2c(sc3nc4ccccc4nc32)c(=O)n1-c1ccccc1,7.14
NNC(=O)c1ccc(-c2nn[nH]n2)cc1Cn1nnc(C(=O)NNC(=O)c2ccccc2-n2cnnn2)c1N,11.31
O=C(NNC(=O)n1nnc2ccccc21)Nc1cccc(NN=Nc2cccc(-c3nn[nH]n3)c2)c1,11.63
O=c1cc(-c2ccc(N=NNc3ccc(Oc4nn[nH]n4)cc3)cc2)oc2ccc(Cl)cc12,9.1
O=C(N=Nc1ccccc1)NNC(=O)n1nnc2ccccc21,8.4
NNC(=O)CCn1c(CSc2nnnn2-c2ccccc2)nc2cc(C(=O)NN=C3CCCC3)ccc21,8.1
O=C(NNC(=O)c1cc(C(=O)NN=C2CCCCCCC2)[nH]n1)Nc1ccc(-c2nn[nH]n2)cc1,10.93
CC(=NNC(=O)C(=O)NN=Cc1cccc([N-][N+]#N)c1)c1ccc(CN(Cc2ccccc2)c2nn[nH]n2)cc1,9.96
Nc1nc(Cl)cc(N=Nc2ccc(NN=NNc3ccccc3)cc2)n1,9.07
NNC(=O)c1ccccc1Cn1c(SCC(=O)Nc2ccc(-c3nn[nH]n3)cc2)nc2ccsc2c1=O,8.72
N#[N+][N-]CCc1ccc(-c2noc(-c3cc(-c4cc(-c5nn[nH]n5)ccc4[N-][N+]#N)n[nH]3)n2)cc1Oc1cccc2cccnc12,13.33
O=C(Nc1cccc2ccccc12)c1cccc(NN=Nc2ccccc2)c1,8.38
NNC(=O)c1ccccc1NN=Nc1ccc(Nc2nnns2)cc1,9.07
Nc1ccnn1-c1nnc(-c2ccc(C3N=NN(c4ccc(-c5nn[nH]n5)cc4)C3N3CCCCC3)cc2)nn1,10.49
Nc1ccccc1Oc1cc(-c2nn[nH]n2)ccc1C(=O)NN=C1CCC(=NNC(=O)c2ccc(-c3nn[nH]n3)cc2)CC1,12.08
O=C(N1CCC(n2cnc3ccccc32)C1)n1nnc2ccccc21,6.27
c1cc(N=NNc2ccc(-n3ccnn3)cc2)cc(Nc2nnns2)c1,9.68
Nc1nnnn1-c1ccc(NN=Nc2cccc(N3C(=O)NC(=O)C(=CNN4CCCCC4c4cccnc4)C3=O)c2)cc1,10.75
N#Cc1cc([N-][N+]#N)ccc1NNC(=O)C(=O)NNc1ccc(N=NNc2ccccc2)cc1NC(=O)NN,11.54
N#[N+][N-]CSc1ccc(N=NNc2ccc(CN(Cc3ccccc3)NC(=O)C34CC5CC(CC(C5)C3)C4)cc2)cc1,9.58
CC1CCc2c(sc3nc(-c4ccccc4)[nH]c(=O)c23)C1,6.94
O=C(Cn1nnc(-c2ccccc2)n1)NNc1cccc(Cl)n1,8.16
NNC(=S)Nc1cc(NNC(=O)N=NC(=O)NNC(=O)c2ccc3nc(NCn4nnc5ccccc54)sc3c2)nc(N)n1,11.97
N#Cc1nc(-c2ccc(COc3nnnn3-c3ccc(-c4nn[nH]n4)cc3)o2)oc1NCn1nnc2ccccc21,8.84
O=C(CSc1nnc(N2CCCCC2)n1C1CC1)Nc1nc2cc3c(cc2s1)OCCO3,6.32
CC(C(=O)Nc1cc(N=NNc2ccc(Oc3nn[nH]n3)cc2)ccc1C(=O)NN)n1nnc2ccccc21,10.74
c1ccc2c(c1)Oc1ccc(-c3nn[nH]n3)cc1O2,6.7
S=C(N=Nc1ccc(N=NNc2ccccc2)cc1)NNc1ccccc1,8.43
c1cc(Nc2nnns2)ccc1N=NNc1ccc(N=Nc2ccc(-c3nn[nH]n3)cc2)nc1,11.19
O=C(c1n[nH]c(=O)c2ccccc12)N1CCCC1c1cccs1,5.95
O=S(=O)(NCC1(O)CCOc2ccccc21)c1ccc(N=NNc2ccc(-n3cnnn3)cc2)cc1,9.24
NNc1cc(NNC(=O)CSc2nnnn2-c2ccc(C(=O)NN=C(N)N)cc2)nc(N)n1,10.04
N#[N+][N-]CC(=O)c1ccc2cc(COC(=O)c3ccc(NN=Nc4ccccc4C(=O)NN=C4CCCC4)cc3)c(Cl)nc2c1,9.17
C(=Cc1nn[nH]n1)c1ccc(NN=Nc2ccccc2)cc1,9.15
CCN1C(=S)NC(c2ccccn2)C1c1ccc(-c2ccccc2-c2nn[nH]n2)o1,7.54
Nc1nnn(Cc2ccc(NN=Nc3ccc(C(=O)CC4OC(=O)c5cc(-c6nn[nH]n6)ccc54)cc3)cc2)n1,11.95
O=C(NNC(=O)n1nnc2ccccc21)NNC(=S)Nc1cccc(N=NNc2ccccc2)c1,10.56
N#[N+][N-]c1ccc(C(=NNC(=O)NN=C2CCCCC2)c2ccccc2)cc1,9.02
NNC(=O)CSc1nnc(-c2cccs2)n1-c1ccc(-c2nn[nH]n2)cc1,7.92
NNC(=O)c1ccccc1NN=Nc1ccc(N=NNc2ccc(Br)cc2)cc1,9.41
O=C1C2C(C(=O)N1N=Cc1cc(Nc3nnns3)ccc1-n1cncn1)C1C=CC2C12CC2,8.67
O=C(Nc1nnc(Cc2c[nH]c3ccccc23)s1)C1CCCCC1,7.56
Cc1ccc(C(c2ccccc2)(c2ccc(-c3nn[nH]n3)cc2)n2nnc3ccccc32)cc1N,10.06
O=C1Nc2ccccc2C1=NNS(=O)(=O)c1ccc2ccccc2c1,7.31
NC(=O)CC(c1ccc(N=Nc2ccc(N)nc2N)cc1)c1c(CC(=O)NN=C2CCCC2)[nH][nH]c1=O,9.29
Cn1c(=O)n(C)c2cc(OC(=O)Nc3cc(NN)c(NN=Nc4ccccc4)cc3C(=O)NN=C(N)N)ccc21,8.13
CC12CCC(CC1=NNC(=O)NNC(=O)N=Nc1ccc(NN)cc1)C2(C)C,9.85
N=c1scc(-c2ccc(O)c(C(N)=O)c2)n1N=Cc1ccc(N=NNc2ccccc2)cc1,8.15
